language,model_type,unit_of_analysis,index,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
po,KNN,title,2,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4816808309706834,0.4228112095235943,0.0,0.5833665767889069,0.4983060391988964,0.4514563106796116,0.4200032423716634
po,KNN,title_and_10_sentences,1,No Upsampling,kNN,0.5525915537249981,0.4409826800469557,0.1096774193548387,0.7268684447636117,0.6686551696263282,0.4887714663143989,0.3748005051186567,0.3899988903609295,0.2901342769283899,0.0256410256410256,0.5097367830627396,0.3984943977591036,0.3349514563106796,0.2461349114544604
po,KNN,title_and_5_sentences,1,No Upsampling,kNN,0.4756710840354042,0.354852106650232,0.0838709677419354,0.7061163696163372,0.6755300237774833,0.4359313077939233,0.3114236456632705,0.4282559019389676,0.321402069049785,0.0,0.5754176056533745,0.5007874740646706,0.3883495145631068,0.2824771406538324
po,KNN,title_and_first_paragraph,2,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4291625564612429,0.3290013208080435,0.0,0.4529704114655571,0.3512480376766091,0.4271844660194174,0.3269698972706491
po,KNN,title_and_first_sentence_each_paragraph,0,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0658219516208655,0.0484261501210653,0.0256410256410256,0.0497883993029624,0.0366300366300366,0.0970873786407767,0.0714285714285714
po,LinearSVM,raw_text,7,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6013852852234939,0.5133645371144683,0.0512820512820512,0.685252202125049,0.6432401699682807,0.5970873786407767,0.4895135566188197
po,LinearSVM,title,7,No Upsampling,LinearSVMDual,0.9778810228200138,0.9632690303568686,0.8193548387096774,0.9625812402047724,0.93446789210396,0.9960369881109644,0.9974939002477728,0.5454724805562513,0.4805706547984188,0.0,0.5485581475277589,0.4727061904383886,0.558252427184466,0.5134081144419491
po,LinearSVM,title_and_10_sentences,6,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.979281242168133,0.9768339220479136,0.8193548387096774,0.9739875898154068,0.9669387397158982,0.9854689564068692,0.9880103653777388,0.5566359864990361,0.5011863251513086,0.0256410256410256,0.5931841459970123,0.5311215568098584,0.558252427184466,0.52739907335772
po,LinearSVM,title_and_5_sentences,7,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5368617913409117,0.4301983386422605,0.0256410256410256,0.5860032362459547,0.4955576441102757,0.5388349514563107,0.4267908157005902
po,LinearSVM,title_and_first_paragraph,8,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4796594084968709,0.4121910396664091,0.0256410256410256,0.5200198477216872,0.4450122872115352,0.470873786407767,0.4091907152997379
po,LinearSVM,title_and_first_sentence_each_paragraph,6,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5717659062419899,0.4932741755662258,0.0256410256410256,0.6702485863650912,0.6407499345892204,0.5679611650485437,0.4674374184712531
po,LogisticRegression,raw_text,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6292256067634956,0.5731979539202537,0.0512820512820512,0.6454562375718029,0.600086894672148,0.6553398058252428,0.6088359009411641
po,LogisticRegression,title,11,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5399008824313611,0.4697517337111753,0.0,0.5844637000821046,0.5198135274176561,0.5242718446601942,0.4584403378576311
po,LogisticRegression,title_and_10_sentences,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5447797223392846,0.4656862848007349,0.0256410256410256,0.570642487728589,0.4826161995898838,0.5339805825242718,0.4683038765745532
po,LogisticRegression,title_and_5_sentences,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5349854805009001,0.433410045413839,0.0,0.5360403952015871,0.4424708061922501,0.5631067961165048,0.4601568544237717
po,LogisticRegression,title_and_first_paragraph,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4855657761541969,0.4249670729979762,0.0,0.5163994780489115,0.4317593313242361,0.4854368932038835,0.4446677382767608
po,LogisticRegression,title_and_first_sentence_each_paragraph,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5530154952908468,0.4830782366542129,0.0,0.621025670661593,0.5668397871969301,0.5436893203883495,0.4793796429134775
po,LogisticRegressionElasticNet,raw_text,15,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6230558254261421,0.5563667865268641,0.0256410256410256,0.6671113311461683,0.6316544420798623,0.6407766990291263,0.5664366335418968
po,LogisticRegressionElasticNet,title,19,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5432352824153398,0.4757203652422209,0.0,0.6189415470362072,0.5608062241990813,0.5194174757281553,0.4504471405787195
