language,model_type,model_subtype,model_name,unit_of_analysis,index,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,raw_text,55,0.9790950982838624,0.9614738681934408,0.893491124260355,1.0,1.0,0.9623762376237625,0.9308675778003508,0.0145502645502645,0.0119047619047619,0.0,0.0873015873015873,0.0714285714285714,0.0079365079365079,0.0064935064935064
fr,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,title,55,0.9800292183001896,0.9654751505388172,0.9112426035502958,1.0,1.0,0.9623762376237625,0.9351213772222176,0.2967838021647417,0.2792405551777607,0.0,0.3405141155141155,0.2805028305028305,0.3174603174603174,0.3376932591218305
fr,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,title_and_10_sentences,53,0.9881479880065454,0.976594644961992,0.9467455621301776,1.0,1.0,0.9782178217821782,0.9568867547018808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,title_and_5_sentences,53,0.9800426716665622,0.960060196009288,0.9053254437869822,1.0,1.0,0.9663366336633664,0.93483016983017,0.0152625152625152,0.0054945054945054,0.0,0.1984126984126984,0.0714285714285714,0.0079365079365079,0.0028571428571428
fr,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,title_and_first_paragraph,53,0.9809253053221082,0.9617376758626908,0.9230769230769232,1.0,1.0,0.9663366336633664,0.9338333095475954,0.0141093474426807,0.0158730158730158,0.0,0.0634920634920634,0.0714285714285714,0.0079365079365079,0.0089285714285714
fr,SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,title_and_first_sentence_each_paragraph,53,0.9880437554604804,0.9831233993885804,0.9526627218934912,0.9883933200625432,0.9864350940809692,0.988118811881188,0.9807092907092908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,raw_text,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3422852326361097,0.2312212641160009,0.0238095238095238,0.4267436267436267,0.2757575757575757,0.3253968253968254,0.2284322820037105
fr,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,title,56,0.7942396098174535,0.7907549370052884,0.4852071005917159,0.9400648479230652,0.9512026342188584,0.691089108910891,0.6807631625831537,0.1936243480022281,0.1433083045986271,0.0,0.3359788359788359,0.2453617810760668,0.1587301587301587,0.1200401978973407
fr,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,title_and_10_sentences,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2895225585701776,0.2494513423084852,0.0,0.4598246706089843,0.3879084967320261,0.2539682539682539,0.2209786641929499
fr,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,title_and_5_sentences,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2795744112303574,0.1919891366982337,0.0,0.3369047619047619,0.2369047619047619,0.2619047619047619,0.1805504019789734
fr,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,title_and_first_paragraph,54,0.996942823534054,0.9937322692424732,0.9822485207100592,1.0,1.0,0.994059405940594,0.9878391356542616,0.3236908807185304,0.23874010014563,0.0,0.417234199122744,0.2965173113779924,0.3015873015873015,0.227312925170068
fr,XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,title_and_first_sentence_each_paragraph,54,0.9969826954493564,0.9966087431321312,0.9881656804733728,1.0,1.0,0.994059405940594,0.9933439367649892,0.3304730013619404,0.2783816831608546,0.0476190476190476,0.387577740647916,0.3246848181058707,0.3333333333333333,0.2827891156462584
fr,XGBoost,No Upsampling,XGBoost_narrow,raw_text,57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3714547467640434,0.2500321347086989,0.0,0.4714090246984984,0.3276725467514941,0.3571428571428571,0.2438806431663574
