language,model_name,unit_of_analysis,f1-micro_mean,f1-micro_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,distilbert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.6827215782397316,0.0250391505503189,0.7356106010276279,0.0483130757299438,0.6374789699234609,0.0077942958293694,0.7738364782436253,0.0119284021387172,0.1147150822793417,0.0316997827424112
en,facebook-mbart-large-50,raw_text,0.7067557134506384,0.0027369006551191,0.763344228196257,0.014135589501922,0.6581941488945251,0.0099191025003982,0.7891664177627491,0.0034473092759227,0.1147717484926787,0.0133039477374799
en,facebook-mbart-large-50,title,0.6550467401541479,0.0132207612839967,0.7091035691319227,0.0261933901231191,0.6089158198790074,0.0095819520600847,0.7555409516384183,0.0051912480977847,0.0875719660909379,0.0156404784877125
en,facebook-mbart-large-50,title_and_10_sentences,0.7054443462582943,0.0126527762443713,0.7552172673515444,0.0249086184419375,0.6623232073625948,0.018270048026044,0.7891168448604368,0.0067865064559821,0.0913572691418468,0.0406669011254189
en,facebook-mbart-large-50,title_and_5_sentences,0.7053835283842372,0.0080666629236539,0.7616513708788238,0.0164780696191729,0.657013649537372,0.0093335641257861,0.7882877697920844,0.0041878536284818,0.1206083684663856,0.0186477685925877
en,facebook-mbart-large-50,title_and_first_paragraph,0.6980047747982919,0.0131221040593202,0.7583404533936996,0.0201192633873433,0.6467677238103952,0.0150986396740163,0.783070220574526,0.0085397321844662,0.0953465705607688,0.0136548737830912
en,facebook-mbart-large-50,title_and_first_sentence_each_paragraph,0.7100974723603825,0.0071904748840071,0.7721177077778503,0.0226429875486779,0.657671816598257,0.0117636877418258,0.7908557425350285,0.0039887903607796,0.1186363842422593,0.0183333057452885
en,gpt2,raw_text,0.6644778931329302,0.0206314093714956,0.6328309214379978,0.03862440002591,0.7004163702492369,0.0027629894797152,0.7704955084598525,0.0082810799041819,0.0661634706922344,0.0136044803898556
en,gpt2,title,0.6432551673433123,0.0298096185343336,0.683669160168376,0.0357133082872368,0.6073767611597937,0.0250014826592028,0.7487878663046542,0.0163409332154893,0.0817693458452332,0.0269656856315992
en,gpt2,title_and_10_sentences,0.6641391951520653,0.0017508444537111,0.6831941567963424,0.0429305278049368,0.6491880038418562,0.037739432267975,0.7652100131687664,0.0075741058585988,0.0739720748900675,0.0237732831260916
